-999.00	82.90	81.31	-999.00	
-999.00	53.16	70.91	-999.00	
81.12	37.08	50.69	69.70	
56.50	59.93	58.52	2.99	
84.36	30.03	-999.00	14.24	
90.72	42.01	-999.00	26.72	
71.77	-999.00	55.03	0.33	
49.19	34.95	53.57	59.92	
-999.00	42.47	57.75	77.59	
98.48	98.78	53.55	24.64	
16.41	25.95	-999.00	71.19	
83.44	71.26	40.66	72.19	
-999.00	9.80	85.83	81.81	
8.67	-999.00	56.68	60.91	
46.59	50.42	-999.00	68.07	
43.48	74.52	-999.00	-999.00	
91.10	89.52	96.06	35.10	
90.56	78.81	15.94	34.29	
4.75	59.23	-999.00	17.04	
22.82	15.38	13.12	-999.00	
83.63	71.74	9.10	18.44	
49.94	37.24	26.78	91.09	
63.67	20.59	-999.00	59.84	
86.87	49.04	5.29	87.25	
84.46	75.93	-999.00	33.42	
87.98	98.99	30.46	50.28	
-999.00	36.61	-999.00	19.79	
-999.00	37.33	-999.00	9.82	
89.08	-999.00	-999.00	14.45	
57.48	61.55	55.15	-999.00	
93.62	92.53	8.93	47.12	
53.50	-999.00	23.62	33.03	
67.43	-999.00	40.86	-999.00	
87.02	16.92	10.85	33.45	
2.67	46.63	87.88	2.09	
22.49	79.10	29.51	-999.00	
47.88	89.92	83.66	77.23	
45.65	-999.00	66.97	65.10	
91.57	1.21	-999.00	16.81	
58.36	5.86	93.38	30.22	
9.17	90.92	-999.00	86.20	
66.45	96.88	68.16	81.36	
2.34	40.14	-999.00	12.04	
5.10	-999.00	69.51	33.01	
-999.00	17.76	33.49	19.66	
36.42	72.23	39.57	9.22	
-999.00	69.08	-999.00	0.17	
80.08	50.83	-999.00	-999.00	
84.54	90.16	70.29	-999.00	
46.15	36.68	81.66	39.43	
14.80	47.46	31.66	89.59	
35.25	11.39	67.65	78.40	
45.23	-999.00	90.58	78.39	
9.45	5.59	59.23	15.07	
75.16	11.88	68.25	37.25	
-999.00	28.47	-999.00	28.99	
26.96	-999.00	2.89	-999.00	
12.25	-999.00	-999.00	69.78	
78.87	71.42	86.03	43.80	
8.41	-999.00	49.08	83.58	
-999.00	31.48	57.75	49.23	
-999.00	15.71	37.79	65.38	
-999.00	-999.00	24.32	-999.00	
69.66	-999.00	41.62	58.54	
-999.00	-999.00	57.58	0.72	
78.25	65.36	38.29	17.30	
-999.00	16.70	76.23	-999.00	
-999.00	54.16	-999.00	-999.00	
-999.00	41.34	56.58	70.82	
0.70	18.13	32.89	41.70	
22.85	81.42	61.93	93.66	
0.24	90.56	43.34	65.69	
62.75	11.68	63.84	66.17	
44.19	-999.00	8.31	72.11	
-999.00	17.54	40.05	7.89	
14.65	23.31	17.11	59.29	
51.69	-999.00	42.83	31.96	
1.45	31.40	34.81	4.66	
31.09	-999.00	88.27	1.47	
50.61	54.86	48.99	-999.00	
41.83	69.18	62.91	72.86	
58.38	76.18	36.98	25.31	
56.70	79.73	-999.00	48.40	
70.06	71.88	99.57	15.80	
50.34	2.47	75.07	2.15	
84.03	23.10	2.18	68.23	
9.55	15.80	82.56	-999.00	
49.35	80.33	71.10	53.78	
37.83	10.91	53.05	6.87	
-999.00	33.63	72.16	-999.00	
-999.00	90.43	58.25	35.58	
-999.00	57.88	81.18	3.45	
40.11	53.80	41.02	9.62	
88.16	47.06	70.38	3.89	
34.56	50.43	60.05	37.71	
-999.00	1.94	-999.00	79.95	
-999.00	35.75	9.52	98.91	
-999.00	37.02	5.27	59.42	
11.81	77.01	78.90	34.94	
56.76	79.20	42.94	66.45	
3.95	-999.00	86.20	89.27	
57.78	49.23	87.77	32.34	
54.33	79.70	5.33	88.35	
16.71	-999.00	89.80	98.64	
39.07	61.77	28.79	92.77	
-999.00	30.34	-999.00	35.98	
56.81	10.84	22.67	-999.00	
56.78	51.63	-999.00	36.46	
68.55	71.22	73.57	2.40	
21.00	-999.00	38.58	28.88	
-999.00	14.71	12.64	77.48	
